start_date,end_date,sharpe_ratio,max_drawdown,win_rate,total_trades
2025-06-14,2025-06-15,38.88821179074544,0.0,1.0,6
2025-06-16,2025-06-17,-9.05469609283676,0.38701723436947333,0.2727272727272727,11
2025-06-17,2025-06-18,-4.874302850555969,0.2540942648454312,0.5384615384615384,13
